time,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,-1.5706381967038248,-1.571273146076058,-1.5691367720844005,-1.5701040171740974,-1.5697061451590466,-1.5697243575771433
0.002,-1.5703145601873378,-1.5721927963351696,-1.5658772672031138,-1.5687380088603042,-1.5675430641170687,-1.5676119174325291
0.004,-1.5698289210711573,-1.5735338573660935,-1.5610851862084232,-1.5667255383655945,-1.5643349842743406,-1.5645001235851028
0.006,-1.5691809906448584,-1.575272644150109,-1.5548212493828528,-1.5640880602926353,-1.5601057233586544,-1.560425069448712
0.008,-1.5683703758506653,-1.5773867378353315,-1.5471434741119097,-1.5608451709198137,-1.5548786832660226,-1.555421546095682
0.01,-1.567396589931499,-1.5798548444599092,-1.5381074527567205,-1.5570148292903416,-1.548676845720971,-1.5495230887783598
0.012,-1.5662590594528185,-1.5826566569844829,-1.5277666246694794,-1.552613553927298,-1.54152276935235,-1.542762021776048
0.014,-1.5649571283187784,-1.5857727224597482,-1.5161725376868056,-1.5476565993897506,-1.5334385878328514,-1.5351695016313907
0.016,-1.5634900593213459,-1.589184315765617,-1.503375095450508,-1.5421581162309046,-1.5244460087830634,-1.5267755588374319
0.018000000000000002,-1.5618570336861035,-1.5928733210762036,-1.4894227876413502,-1.5361312973152694,-1.5145663131929352,-1.5176091380341143
0.02,-1.56005714901004,-1.5968221219978642,-1.4743629007521932,-1.529588512896708,-1.5038203551644074,-1.5076981367707927
0.022,-1.5580894159240772,-1.601013501169404,-1.4582417074410248,-1.5225414363499097,-1.4922285618284858,-1.4970694428893743
0.024,-1.5559527537558304,-1.6054305499828083,-1.4411046328478863,-1.5150011619812382,-1.4798109333379506,-1.4857489705808429
0.026000000000000002,-1.5536459854155802,-1.6100565889620377,-1.4229963965774501,-1.506978315919061,-1.4665870428829064,-1.473761695166157
0.028,-1.5511678316803394,-1.614875099213179,-1.4039611293753986,-1.4984831606981823,-1.4525760367200033,-1.4611316866507815
0.03,-1.548516905006973,-1.6198696652219207,-1.3840424638862063,-1.4895256938093142,-1.4377966342466821,-1.4478821421003627
0.032,-1.545691702965593,-1.625023929118073,-1.3632835992869048,-1.4801157401857845,-1.4222671281883101,-1.4340354168832865
0.034,-1.5426906013489894,-1.6303215563496034,-1.3417273400504974,-1.4702630383503026,-1.406005384997508,-1.4196130548240284
0.036000000000000004,-1.539511846982889,-1.635746212511999,-1.3194161095989103,-1.4599773197496309,-1.3890288455901563,-1.4046358173093065
0.038,-1.53615355023565,-1.6412815508678262,-1.2963919401447037,-1.4492683806692759,-1.37135452656043,-1.389123711387096
0.04,-1.5326136772047658,-1.6469112098742256,-1.2726964405715768,-1.438146146047521,-1.3529990220267762,-1.3730960168965534
0.042,-1.5288900415414937,-1.6526188198232326,-1.2483707447384824,-1.4266207244999682,-1.3339785062613672,-1.3565713126648615
0.044,-1.5249802958639627,-1.658388017503101,-1.223455443080166,-1.414702453921152,-1.3143087372470472,-1.3395675018049684
0.046,-1.5208819227031054,-1.6642024676202885,-1.1979905007871288,-1.4024019371443446,-1.2940050612883434,-1.3221018361461903
0.048,-1.5165922249242614,-1.6700458895926147,-1.172015166152255,-1.3897300673066364,-1.2730824187775873,-1.3041909398277332
0.05,-1.5121083155697426,-1.67590208824328,-1.145567872847426,-1.3766980427726907,-1.2515553511848787,-1.2858508320833721
0.052000000000000005,-1.5074271070732164,-1.6817549868988573,-1.1186861399274703,-1.3633173717038083,-1.229438009303269,-1.2670969492438826
0.054,-1.502545299804616,-1.6875886614242024,-1.0914064732468964,-1.349599866603895,-1.2067441627402224,-1.2479441659823407
0.056,-1.4974593699134702,-1.6933873738116274,-1.063764271723473,-1.3355576294152034,-1.1834872106053014,-1.2284068158261376
0.058,-1.4921655564481966,-1.699135604075063,-1.0357937415082037,-1.3212030279596365,-1.1596801933043182,-1.2084987109584844
0.06,-1.4866598477382584,-1.7048180793735068,-1.0075278206478948,-1.3065486647133948,-1.1353358053138352,-1.18823316133131
0.062,-1.4809379670345255,-1.7104197994907984,-0.9789981162843399,-1.291607339054089,-1.1104664087785046,-1.1676229931107747
0.064,-1.4749953574103436,-1.7159260580184217,-0.9502348558557518,-1.276392004223999,-1.085084047748477,-1.1466805664760804
0.066,-1.468827165931512,-1.7213224588123859,-0.92126685318386,-1.2609157203084183,-1.059200462855653,-1.1254177927918647
0.068,-1.4624282271076505,-1.7265949275129244,-0.8921214897735177,-1.2451916045350286,-1.032827106216076,-1.103846151174141
0.07,-1.4557930456405415,-1.7317297181172302,-0.8628247111452853,-1.2292327801630298,-1.0059751563410329,-1.0819767044694921
0.07200000000000001,-1.4489157784873268,-1.73671341477343,-0.8334010375835472,-1.2130523251556933,-0.9786555328408011,-1.0598201146669888
0.074,-1.44179021625844,-1.741532929113696,-0.803873588324834,-1.1966632217249114,-0.950878910711663,-1.0373866577620652
0.076,-1.4344097639723787,-1.7461754935635012,-0.7742641179381118,-1.180078307709746,-0.9226557340077359,-1.014686238091311
0.078,-1.426767421192491,-1.750628651152435,-0.7445930634600002,-1.1633102306113503,-0.8939962287133948,-0.9917284021568405
0.08,-1.4188557615753974,-1.7548802424114138,-0.7148796007375857,-1.1463714049617597,-0.8649104146485473,-0.9685223519585295
0.082,-1.4106669118670991,-1.7589183899746164,-0.68514170839067,-1.1292739735606399,-0.8354081162569473,-0.9450769578519981
0.084,-1.4021925303917244,-1.7627314815159238,-0.65539623782275,-1.1120297729774924,-0.8054989721463642,-0.921400770949739
0.08600000000000001,-1.3934237850897595,-1.7663081516433785,-0.625658987773606,-1.0946503035910577,-0.7751924432682413,-0.8975020350822622
0.088,-1.38435133117796,-1.7696372633555135,-0.5959447820039282,-1.0771467043252683,-0.7444978196431091,-0.8733886983355419
0.09,-1.3749652885223906,-1.7727078896344324,-0.5662675488225477,-1.0595297321434478,-0.7134242255562796,-0.8490684241804295
0.092,-1.3652552188396452,-1.775509295715831,-0.5366404012993728,-1.041809746279792,-0.6819806231661736,-0.824548602209026
0.094,-1.3552174873141138,-1.7779543253667685,-0.5073042224360735,-1.0239796138704342,-0.6501762219803223,-0.7998362575337118
0.096,-1.3448546483058375,-1.7799073007313448,-0.4786546100141096,-1.0060203986340321,-0.6182089781513112,-0.7749381126439993
0.098,-1.334167480335738,-1.7812838066699772,-0.4509474491303558,-0.9879236816903567,-0.5862804757618629,-0.749860742095686
0.1,-1.3231555238142922,-1.7820346103449913,-0.4243427150132788,-0.9696876405447314,-0.5545684384998348,-0.7246105529545288
0.10200000000000001,-1.3118174035425738,-1.7821346697145612,-0.39893442965628423,-0.9513145908978012,-0.5232285698995889,-0.6991937721514538
0.10400000000000001,-1.300151056588033,-1.7815755915514186,-0.3747711558655247,-0.9328094068040744,-0.4923962709490619,-0.673616439718394
0.106,-1.288153895546303,-1.7803604407119378,-0.3518700649066051,-0.9141785284879356,-0.4621882524917118,-0.6478844059477296
0.108,-1.275822926349894,-1.7785001504157478,-0.3302266424890443,-0.8954293543442691,-0.43270405429022185,-0.6220033311705858
0.11,-1.2631548333575147,-1.7760110252331187,-0.30982142724727546,-0.8765698789561898,-0.4040274786201088,-0.5959786872875688
0.112,-1.2501460404746751,-1.7729129932377032,-0.29062472135189066,-0.8576084850443235,-0.3762279436359308,-0.5698157604761158
0.114,-1.2367927544926303,-1.7692283748548556,-0.2725999074911667,-0.8385538288031847,-0.34936176014210707,-0.543519654689882
0.116,-1.223090995130736,-1.7649810105319896,-0.25570580187645797,-0.8194147793208509,-0.32347333448058224,-0.5170952956910215
0.11800000000000001,-1.2090366151074663,-1.760195639467014,-0.23989833577363684,-0.8002003869551918,-0.29859629977476443,-0.4905474354384889
