time,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,-1.5706381967038248,-1.571273146076058,-1.5691367720844005,-1.5701040171740974,-1.5697061451590466,-1.5697243575771433
0.002,-1.5703124962471606,-1.5719597641013574,-1.5665394652996603,-1.5686722940707107,-1.5675479558468388,-1.5676114551817881
0.004,-1.5698196808408083,-1.5724273253573806,-1.5642326900857528,-1.5664956348093744,-1.5648584897514488,-1.5649796648306395
0.006,-1.5691597482822401,-1.5728167788321121,-1.5618142653305702,-1.5640106959039968,-1.5619543612601996,-1.562148323547356
0.008,-1.5683320664669373,-1.5730790850744767,-1.5594226999870202,-1.5613684615549186,-1.5589667731861134,-1.5592409381703116
0.01,-1.5673368799840242,-1.573228703984122,-1.557018096732821,-1.5586573459523192,-1.5559473174462137,-1.5563055348436046
0.012,-1.5661744883606759,-1.5732609371574613,-1.5546154003798796,-1.5559133948534012,-1.5529170094914095,-1.5533607225972497
0.014,-1.5648464663663144,-1.573177809769566,-1.552210797528438,-1.5531551630412466,-1.5498841621021233,-1.5504137418730992
0.016,-1.563367476528345,-1.5729795546158805,-1.5498054964139132,-1.550388721408022,-1.5468527107942858,-1.5474674074493382
0.018000000000000002,-1.5617509148335182,-1.5726668932381809,-1.5473993803867738,-1.5476172320987973,-1.5438241560026917,-1.5445228142683058
0.02,-1.560009009796675,-1.5722404388749904,-1.5449926717369769,-1.5448423203736585,-1.5407990347324658,-1.541580388556086
0.022,-1.5581529215903387,-1.5717008659852654,-1.5425854398288976,-1.5420649283042855,-1.5377774999923783,-1.5386402970532056
0.024,-1.5561928328614616,-1.5710488450785063,-1.5401777790110815,-1.5392856491052287,-1.534759557742317,-1.535702605501617
0.026000000000000002,-1.55413803302454,-1.5702850582205754,-1.5377697612090917,-1.5365049063092766,-1.5317451599925072,-1.5327673403637887
0.028,-1.551996995510951,-1.5694101911580607,-1.5353614559238895,-1.5337230315776331,-1.5287342419998098,-1.5298345127821082
0.03,-1.5497774485582922,-1.5684249341212342,-1.5329529262820334,-1.5309403039732563,-1.5257267365237885,-1.5269041279200608
0.032,-1.5474864399321338,-1.5673299803883276,-1.5305442316697,-1.5281569681926708,-1.5227225791617536,-1.5239761885986252
0.034,-1.5451303960743585,-1.5661260258230367,-1.5281354277268009,-1.5253732438493293,-1.5197217101131857,-1.5210506967170654
0.036000000000000004,-1.542715199968159,-1.5648217011852712,-1.5257122493948314,-1.5225901108728002,-1.5167240236633326,-1.5181276609261245
0.038,-1.5402462323741906,-1.5634360540189198,-1.5232484369215527,-1.5198079222726582,-1.5137294764677445,-1.5152070881223043
0.04,-1.5377283235550256,-1.561970963902136,-1.5207612019665078,-1.5170230468481247,-1.5107383124013396,-1.5122889533704462
0.042,-1.5351659194488503,-1.5604357615095839,-1.5182461257954327,-1.5142359902613938,-1.5077504747968238,-1.5093732605747103
0.044,-1.5325630649135784,-1.5588352556722316,-1.5157090802754276,-1.511446249833028,-1.5047659764016847,-1.5064600059723885
0.046,-1.5299234656218579,-1.5571756846663602,-1.5131505948885506,-1.5086542762841033,-1.501784760507731,-1.5035491926445559
0.048,-1.527250505916786,-1.5554618684155597,-1.5105735388988897,-1.505860251580606,-1.4988067898713187,-1.500640821723586
0.05,-1.5245472828081414,-1.5536986660316023,-1.5079793771306282,-1.5030645628584531,-1.495832013557369,-1.4977348958862582
0.052000000000000005,-1.5218166281422594,-1.551890316985739,-1.505370024821534,-1.5002675130010084,-1.4928603880524367,-1.4948314172493722
0.054,-1.5190611328903383,-1.5500408142488848,-1.5027469580569752,-1.4974694356962495,-1.4898918691849317,-1.4919303882173829
0.056,-1.5162831672890877,-1.548153767386279,-1.5001116672940993,-1.4946706276750528,-1.48692641698901,-1.4890318109843903
0.058,-1.5134849001528465,-1.5462325115435647,-1.4974654517629855,-1.4918713773082934,-1.4839639936115527,-1.4861356877439458
0.06,-1.510668316040276,-1.5442800924673867,-1.4948095352925377,-1.489071949452654,-1.4810045643127296,-1.483242020575109
0.062,-1.5078352311397434,-1.5422993089920582,-1.4921450235757296,-1.486272593202412,-1.4780480968189404,-1.480350811497685
0.064,-1.5049873076691638,-1.5402927244625817,-1.4894729378857514,-1.4834735391577696,-1.4750945614211348,-1.4774620624493586
0.066,-1.5021260670750332,-1.538262690670764,-1.4867942103411718,-1.4806750021021424,-1.472143930690046,-1.4745757753029594
0.068,-1.4992529020640846,-1.5362113632148517,-1.484109697005118,-1.4778771811412503,-1.4691961793768784,-1.47169195186468
0.07,-1.4963690876051299,-1.5341407188031138,-1.4814201813766863,-1.4750802610870806,-1.466251284230998,-1.4688105938815903
0.07200000000000001,-1.4934757909750467,-1.5320525695474176,-1.4787263817597471,-1.4722844131982542,-1.4633092238691765,-1.4659317030443184
0.074,-1.490574080940583,-1.5299485768397911,-1.4760289559882125,-1.4694897961763038,-1.460369978632364,-1.4630552809917041
0.076,-1.4876649361478693,-1.5278302637031236,-1.4733285067539796,-1.4666965569706303,-1.4574335304614883,-1.460181329314066
0.078,-1.4847492527906294,-1.5256990263014956,-1.4706255860098776,-1.4639048316065466,-1.4544998627767531,-1.4573098495567276
0.08,-1.4818278516191654,-1.5235561444076475,-1.4679206992450258,-1.4611147459317642,-1.451568960367521,-1.454440843223021
0.082,-1.4789014843479245,-1.5214027910471775,-1.4652143092916197,-1.4583264163334693,-1.4486408092887508,-1.4515743117771713
0.084,-1.475970839513757,-1.5192400413231142,-1.4625068398731773,-1.4555399504027675,-1.4457153967653125,-1.448710256646894
0.08600000000000001,-1.4730365478326486,-1.5170688805204673,-1.4597986788321866,-1.4527554475603766,-1.4427927111028909,-1.4458486792258103
0.088,-1.4700991870983648,-1.514890211535146,-1.4570901811042605,-1.4499729996396933,-1.439872741605464,-1.442989580875658
0.09,-1.4671592866626848,-1.512704861690746,-1.4543816714399957,-1.4471926914321043,-1.4369554784987448,-1.4401329629283286
0.092,-1.4642173315333806,-1.5105135889903158,-1.4516734469049914,-1.4444146011952201,-1.4340409128592813,-1.4372788266877394
0.094,-1.4612737661229473,-1.508317087851677,-1.4489657791716908,-1.4416388011267391,-1.4311290365487934,-1.4344271734315546
0.096,-1.4583289976781828,-1.5061159943682154,-1.4462589166225202,-1.4388653578056159,-1.428219842153411,-1.4315780044127686
0.098,-1.4553833994180876,-1.503910891134844,-1.4435530862788148,-1.4360943326026372,-1.4253133229274575,-1.4287313208611618
0.1,-1.4524373134051622,-1.5017023116749233,-1.4408484955704648,-1.4333257820622112,-1.42240947274147,-1.425887123984638
0.10200000000000001,-1.449491053172981,-1.4994907445012544,-1.43814533395918,-1.4305597582572114,-1.4195082860341475,-1.4230454149704554
0.10400000000000001,-1.4465449061309414,-1.497276636841363,-1.4354437744276,-1.4277963091185846,-1.41660975776795,-1.4202061949863574
0.106,-1.443599135765263,-1.495060398054865,-1.432743974845269,-1.4250354787413781,-1.4137138833880782,-1.4173694651816124
0.108,-1.4406539836536592,-1.492842402768358,-1.430046079221684,-1.4222773076687427,-1.410820658784594,-1.414535226687971
0.11,-1.4377096713095936,-1.4906229937512008,-1.4273502188557314,-1.4195218331553923,-1.4079300802574415,-1.4117034806205437
0.112,-1.4347664018706596,-1.4884024845535915,-1.4246565133900808,-1.416769089411914,-1.405042144484162,-1.4088742280786115
0.114,-1.4318243616443582,-1.4861811619265934,-1.4219650717783872,-1.4140191078312483,-1.4021568484900973,-1.4060474701463666
0.116,-1.428883721523416,-1.4839592880421304,-1.4192759931725076,-1.4112719171985677,-1.3992741896208942,-1.4032232078935978
0.11800000000000001,-1.425944638281727,-1.4817371025294737,-1.416589367736344,-1.4085275438857248,-1.3963941655171423,-1.4004014423763185
0.12,-1.4230072557610574,-1.4795148243433929,-1.4139052773923702,-1.4057860120313472,-1.3935167740909755,-1.3975821746373445
0.122,-1.4200717059577839,-1.4772926534778699,-1.4112237965064158,-1.403047343707608,-1.390642013504497,-1.394765405706826
0.124,-1.4171381100181262,-1.475070772538142,-1.4085449925157991,-1.4003115590746145,-1.387769882149881,-1.3919511366027362
0.126,-1.4142065791496312,-1.472849348182776,-1.4058689265055009,-1.397578676523311,-1.3849003786310292,-1.3891393683313218
0.128,-1.4112772154559874,-1.470628532446511,-1.4031956537366665,-1.3948487128077223,-1.3820335017466572,-1.386330101887516
0.13,-1.4083501127016465,-1.4684084639537205,-1.4005252241313824,-1.3921216831673118,-1.3791692504747066,-1.3835233382553205
0.132,-1.405425357012184,-1.4661892690315315,-1.3978576827173372,-1.3893976014401748,-1.3763076239579746,-1.380719078408154
0.134,-1.4025030275158161,-1.463971062730889,-1.395193070035687,-1.3866764801677376,-1.3734486214908723,-1.3779173233091768
0.136,-1.399583196931034,-1.4617539497631729,-1.3925314225151635,-1.383958330691585,-1.3705922425072201,-1.3751180739115865
0.138,-1.3966659321048958,-1.4595380253593446,-1.3898727728152216,-1.3812431632430002,-1.3677384865690037,-1.372321331158892
0.14,-1.3937512945061288,-1.457323376058024,-1.3872171501407786,-1.3785309870257494,-1.3648873533560109,-1.3695270959851646
0.14200000000000002,-1.3908393406768416,-1.4551100804283696,-1.3845645805309021,-1.3758218102926183,-1.3620388426562857,-1.3667353693152706
0.14400000000000002,-1.3879301226463294,-1.4528982097331493,-1.3819150871235946,-1.373115640416161,-1.3591929543573327,-1.3639461520650844
0.146,-1.3850236883101539,-1.4506878285369458,-1.3792686903986573,-1.370412483954095,-1.3563496884380142,-1.3611594451416866
0.148,-1.3821200817774146,-1.4484789952640285,-1.3766254084004406,-1.3677123467097392,-1.3535090449610854,-1.3583752494435442
0.15,-1.3792193436888822,-1.4462717627100552,-1.3739852569421498,-1.3650152337878705,-1.3506710240663178,-1.3555935658606788
0.152,-1.3763215115084384,-1.4440661785114182,-1.3713482497932297,-1.3623211496463394,-1.3478356259641648,-1.3528143952748215
0.154,-1.3734266197900569,-1.4418622855757364,-1.3687143988512278,-1.359630098143764,-1.3450028509299274,-1.3500377385595552
0.156,-1.37053470042238,-1.4396601224767067,-1.3660837142994213,-1.3569420825835976,-1.3421726992983776,-1.347263596580446
0.158,-1.3676457828527668,-1.4374597238162607,-1.3634562047513863,-1.3542571057548471,-1.3393451714588092,-1.344491970195166
0.16,-1.3647598942925292,-1.4352611205567298,-1.3608318773835872,-1.351575169969689,-1.3365202678504753,-1.3417228602536047
0.162,-1.3618770599049346,-1.4330643403255012,-1.3582107380569837,-1.348896277098223,-1.3336979889583875,-1.3389562675979736
0.164,-1.3589973029774174,-1.4308694076944377,-1.3555927914285557,-1.346220428600578,-1.3308783353094467,-1.3361921930629026
0.166,-1.3561206450793168,-1.4286763444361508,-1.3529780410535905,-1.3435476255565724,-1.3280613074688752,-1.3334306374755296
0.168,-1.353247106206358,-1.426485169759039,-1.3503664894794893,-1.3408778686931146,-1.3252469060369343,-1.3306716016555824
0.17,-1.3503767049129807,-1.4242959005228544,-1.3477581383318002,-1.3382111584095144,-1.3224351316458964,-1.3279150864154559
0.17200000000000001,-1.3475094584335336,-1.4221085514363998,-1.345152988393119,-1.3355474948008663,-1.3196259849572578,-1.3251610925602832
0.17400000000000002,-1.3446453827932678,-1.4199231352388446,-1.3425510396754485,-1.3328868776796516,-1.316819466659167,-1.322409620888002
0.176,-1.3417844929099765,-1.4177396628660093,-1.339952291486561,-1.330229306595695,-1.3140155774640585,-1.3196606721894162
0.178,-1.3389268026870706,-1.4155581436028641,-1.3373567424908572,-1.3275747808546008,-1.3112143181064697,-1.3169142472482527
0.18,-1.3360723250988011,-1.4133785852233856,-1.3347643907651796,-1.3249232995347877,-1.3084156893410286,-1.3141703468412147
0.182,-1.3332210722682871,-1.4112009941188144,-1.3321752338499973,-1.3222748615032265,-1.305619691940599,-1.311428971738033
0.184,-1.3303730555389504,-1.4090253754152793,-1.3295892687963484,-1.319629465429983,-1.3028263266945699,-1.3086901227015109
0.186,-1.3275282855399098,-1.4068517330816628,-1.3270064922088882,-1.3169871098016563,-1.3000355944072792,-1.3059538004875684
0.188,-1.3246867722458384,-1.4046800700285216,-1.324426900285368,-1.3143477929337986,-1.2972474958965572,-1.3032200058452825
0.19,-1.3218485250317482,-1.4025103881988004,-1.3218504888528406,-1.311711512982393,-1.2944620319923847,-1.300488739516927
0.192,-1.3190135527231266,-1.400342688651021,-1.3192772534008637,-1.3090782679544655,-1.291679203535654,-1.2977600022380062
0.194,-1.316181863641814,-1.3981769716355685,-1.3167071891119484,-1.3064480557178932,-1.2888990113770247,-1.2950337947372905
0.196,-1.3133534656479788,-1.3960132366646465,-1.314140290889485,-1.3038208740104757,-1.2861214563758678,-1.292310117736847
0.198,-1.310528366178517,-1.3938514825764299,-1.3115765533833526,-1.3011967204483228,-1.2833465393992896,-1.289588971952071
