time,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,-1.5706381967038248,-1.571273146076058,-1.5691367720844005,-1.5701040171740974,-1.5697061451590466,-1.5697243575771433
0.002,-1.5703145601873378,-1.5721927963351696,-1.5658772672031138,-1.5687380088603042,-1.5675430641170687,-1.5676119174325291
0.004,-1.5698289210711573,-1.5735338573660935,-1.5610851862084232,-1.5667255383655945,-1.5643349842743406,-1.5645001235851028
0.006,-1.5691809906448584,-1.575272644150109,-1.5548212493828528,-1.5640880602926353,-1.5601057233586544,-1.560425069448712
0.008,-1.5683703758506653,-1.5773867378353315,-1.5471434741119097,-1.5608451709198137,-1.5548786832660226,-1.555421546095682
0.01,-1.567396589931499,-1.5798548444599092,-1.5381074527567205,-1.5570148292903416,-1.548676845720971,-1.5495230887783598
0.012,-1.5662590594528185,-1.5826566569844829,-1.5277666246694794,-1.552613553927298,-1.54152276935235,-1.542762021776048
0.014,-1.5649571283187784,-1.5857727224597482,-1.5161725376868056,-1.5476565993897506,-1.5334385878328514,-1.5351695016313907
0.016,-1.5634900593213459,-1.589184315765617,-1.503375095450508,-1.5421581162309046,-1.5244460087830634,-1.5267755588374319
0.018000000000000002,-1.5618570336861035,-1.5928733210762036,-1.4894227876413502,-1.5361312973152694,-1.5145663131929352,-1.5176091380341143
0.02,-1.56005714901004,-1.5968221219978642,-1.4743629007521932,-1.529588512896708,-1.5038203551644074,-1.5076981367707927
0.022,-1.5580894159240772,-1.601013501169404,-1.4582417074410248,-1.5225414363499097,-1.4922285618284858,-1.4970694428893743
0.024,-1.5559527537558304,-1.6054305499828083,-1.4411046328478863,-1.5150011619812382,-1.4798109333379506,-1.4857489705808429
0.026000000000000002,-1.5536459854155802,-1.6100565889620377,-1.4229963965774501,-1.506978315919061,-1.4665870428829064,-1.473761695166157
0.028,-1.5511678316803394,-1.614875099213179,-1.4039611293753986,-1.4984831606981823,-1.4525760367200033,-1.4611316866507815
0.03,-1.548516905006973,-1.6198696652219207,-1.3840424638862063,-1.4895256938093142,-1.4377966342466821,-1.4478821421003627
0.032,-1.545691702965593,-1.625023929118073,-1.3632835992869048,-1.4801157401857845,-1.4222671281883101,-1.4340354168832865
0.034,-1.54269137479676,-1.6302338925518924,-1.3419753222894975,-1.4702445287380859,-1.4060066272354634,-1.4196128764871616
0.036000000000000004,-1.5395164397619578,-1.6353195402435716,-1.3206246186736705,-1.4598920944833012,-1.3890344621171464,-1.4046349497108372
0.038,-1.5361673521360169,-1.6402052791539163,-1.2994459528006126,-1.4490671729212332,-1.3713674976755654,-1.38912152567541
0.04,-1.5326444180225052,-1.6448602188888406,-1.2785285068069758,-1.4377896054823525,-1.3530213974997982,-1.3730918592719883
0.042,-1.528947795472631,-1.6492726048135309,-1.2579077503077942,-1.4260829896053486,-1.3340111567912163,-1.3565645451278714
0.044,-1.5250775132019334,-1.6534388631902397,-1.2375961019265451,-1.4139716508067735,-1.3143513274479566,-1.339557520398529
0.046,-1.5210334874466873,-1.657358899229064,-1.217596093714605,-1.4014794194067526,-1.294056115472996,-1.3220880794322487
0.048,-1.5168155333457058,-1.6610340749201666,-1.1979060402295438,-1.3886291579993406,-1.2731394255860402,-1.3041728930619092
0.05,-1.5124233718205617,-1.6644663382442482,-1.1785224884495669,-1.3754426006414469,-1.2516148839236036,-1.2858280294319366
0.052000000000000005,-1.5078566334941288,-1.6676578487465679,-1.1594412802926848,-1.3619403209263459,-1.2294958515428493,-1.2670689750475608
0.054,-1.5031148607962603,-1.670610817944048,-1.140658014693026,-1.3481417526500379,-1.2067954339709,-1.2479106554962762
0.056,-1.4981975089643391,-1.6733274431051464,-1.1221682485854492,-1.3340652311510803,-1.1835264889659092,-1.2283674556187876
0.058,-1.4931039463407565,-1.6758098817636813,-1.1039675837853984,-1.3197280419466295,-1.1597016333872032,-1.2084532390472869
0.06,-1.487833454188299,-1.6780602440349124,-1.0860517037509552,-1.3051464710707883,-1.1353332495458963,-1.1881813670891743
0.062,-1.4823852261449257,-1.6800805926855111,-1.0684163882352564,-1.2903358548055543,-1.1104334911881744,-1.1675647169599768
0.064,-1.4767583673869358,-1.681872946526172,-1.0510575181596118,-1.275310627887881,-1.0850142891714145,-1.1466156993798866
0.066,-1.4709518935424062,-1.683439285159366,-1.0339710761667655,-1.2600843698701112,-1.0590873568543901,-1.125346275552538
0.068,-1.464964729382845,-1.6847815542026714,-1.0171531452839961,-1.2446698495646136,-1.0326641952062534,-1.1037679735460122
0.07,-1.4587957073137605,-1.6859016705922028,-1.0005999067811988,-1.2290790676112022,-1.0057560976319841,-1.0818919040962136
0.07200000000000001,-1.4524435656809604,-1.6868015277880877,-0.9843076377085458,-1.2133232972507109,-0.9783741545091992,-1.0597287758523957
0.074,-1.4459069469071708,-1.687483000802737,-0.9682727083284374,-1.1974131234054308,-0.9505292574303422,-1.0372889100840341
0.076,-1.4391844750748863,-1.687945118721235,-0.9524998527765716,-1.181358338540933,-0.922273077560861,-1.0145822494277756
0.078,-1.4322745478541266,-1.6881885522337066,-0.9369896047621187,-1.1651687990272184,-0.89371025945078,-0.9916183807378015
0.08,-1.425175409171215,-1.6882147603005642,-0.9217403432021907,-1.1488537548976658,-0.8649380562712202,-0.9684065494164454
0.082,-1.4178851619747908,-1.688025583406247,-0.9067494192917828,-1.132421817200485,-0.8360466631928163,-0.9449556713812031
0.084,-1.4104017757420775,-1.687623043331006,-0.8920137096676987,-1.1158809679191175,-0.8071195401780771,-0.9212743449148055
0.08600000000000001,-1.4027230912933815,-1.6870092439706486,-0.877529889468053,-1.099238590309055,-0.7782337253144562,-0.8973708622088414
0.088,-1.394846824165172,-1.6861863221470181,-0.8632945675621932,-1.0825015088057786,-0.7494601391877942,-0.8732532205198829
0.09,-1.3867705671392812,-1.685156423488182,-0.8493043534330063,-1.0656760330704933,-0.7208638805173258,-0.8489291329090014
0.092,-1.3784917922038975,-1.6839216911127468,-0.8355558899306883,-1.0487680033598175,-0.6925045131551681,-0.8244060385605934
0.094,-1.370007852065708,-1.682484261029156,-0.8220458688904209,-1.0317828356922998,-0.664436344508142,-0.7996911126885189
0.096,-1.3613159812593778,-1.6808462611981072,-0.8087710381196006,-1.0147255659308458,-0.6367086954276088,-0.7747912760433214
0.098,-1.3524132968690998,-1.6790098127104685,-0.7957282040438494,-0.9976008922368375,-0.6093661616150203,-0.7497132040369007
0.1,-1.3432968013864337,-1.6769770357148606,-0.7829142214079741,-0.9804131670385244,-0.58244886594656,-0.7245457085992941
0.10200000000000001,-1.333963380324799,-1.6747500469067809,-0.7703260106181081,-0.9631664937254938,-0.5559927006561363,-0.6993727645052686
0.10400000000000001,-1.3244129960872637,-1.672330770098494,-0.757961259745506,-0.9458644746960715,-0.5300292966075473,-0.6742704818541326
0.106,-1.3146502346256446,-1.6697209877887222,-0.7458183723361672,-0.9285102174455476,-0.5045861107643268,-0.6493076181476881
0.108,-1.3046796107273864,-1.6669227725596867,-0.7338949967168737,-0.9111069041563992,-0.4796870568256495,-0.6245460579171834
0.11,-1.2945055781927541,-1.663938367973332,-0.7221883587199465,-0.8936577752789359,-0.45535272316272524,-0.6000412721120969
0.112,-1.2841325376746004,-1.660770123229964,-0.7106954451430313,-0.8761661235678764,-0.43160058199950657,-0.5758427536498177
0.114,-1.2735643465039261,-1.657416634794869,-0.6994068204258813,-0.8588008759131582,-0.40844589501787065,-0.5519943467396102
0.116,-1.2628050599037766,-1.6538771204317417,-0.6883167894855949,-0.8416705653713417,-0.38590078291444496,-0.5285347700743039
0.11800000000000001,-1.2518588961476487,-1.65015190900242,-0.6774221898604276,-0.8248263352259425,-0.36397450654428765,-0.5054979739899181
