epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9696,0.64371,2.78412,0.99685,0.00465,1,0.995,0.90667,0.35538,2.45375,0.79925,0.0002,0.0002,0.0002
2,41.4967,0.56297,1.50339,0.94065,0.00405,1,0.995,0.81982,0.56826,2.2422,0.82521,0.00039228,0.00039228,0.00039228
3,61.9467,0.4728,0.888,0.87929,0.39526,1,0.995,0.86427,0.50093,2.20784,0.8242,0.00055552,0.00055552,0.00055552
4,82.4536,0.48704,0.77441,0.88926,1,0.78706,0.995,0.88345,0.43932,2.17727,0.81924,0.00068972,0.00068972,0.00068972
5,102.949,0.46641,0.684,0.88455,1,0.73979,0.995,0.93914,0.38053,2.09504,0.82494,0.00079488,0.00079488,0.00079488
6,123.421,0.33524,0.91321,0.79349,1,0.85932,0.995,0.96103,0.36211,1.87943,0.81903,0.000871,0.000871,0.000871
7,143.893,0.33374,0.82107,0.77774,0.9927,1,0.995,0.96305,0.34223,1.73647,0.81267,0.00091808,0.00091808,0.00091808
8,164.381,0.30641,0.74013,0.7593,0.99182,1,0.995,0.96627,0.3135,1.25246,0.82758,0.00093612,0.00093612,0.00093612
9,184.909,0.31317,0.7309,0.79469,0.99718,1,0.995,0.94278,0.35064,0.90326,0.82755,0.00092512,0.00092512,0.00092512
10,205.278,0.28532,0.67082,0.7942,0.99777,1,0.995,0.98873,0.28472,0.72782,0.80537,0.000812,0.000812,0.000812
11,225.78,0.25388,0.63296,0.76185,0.99818,1,0.995,0.97749,0.26247,0.58895,0.80266,0.00068,0.00068,0.00068
12,246.396,0.2467,0.61102,0.79755,0.99833,1,0.995,0.97288,0.25556,0.48546,0.80523,0.000548,0.000548,0.000548
13,266.913,0.22147,0.59202,0.76499,0.9983,1,0.995,0.995,0.22587,0.46715,0.79746,0.000416,0.000416,0.000416
14,287.458,0.21398,0.56617,0.77391,0.99824,1,0.995,0.995,0.17647,0.44528,0.79309,0.000284,0.000284,0.000284
15,308.071,0.20099,0.54144,0.76359,0.99833,1,0.995,0.995,0.1672,0.43331,0.79102,0.000152,0.000152,0.000152
